Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms)
132825582,8/1/2023 3:43,200056,"Vauxhall Walk, Vauxhall",8/1/2023 3:45,1224,"Vauxhall Street, Vauxhall",50061,CLASSIC,2m 4s,124902
132825583,8/1/2023 3:43,1074,"Newgate Street , St. Paul's",8/1/2023 3:47,1191,"Barbican Centre, Barbican",57838,CLASSIC,3m 25s,205679
132825580,8/1/2023 3:43,1222,"Goswell Road (City Uni), Finsbury",8/1/2023 3:50,984,"Finsbury Circus, Liverpool Street",60542,PBSC_EBIKE,7m 21s,441302
132825584,8/1/2023 3:49,300027,"Mile End Park Leisure Centre, Mile End",8/1/2023 3:52,200041,"Antill Road, Mile End",60305,PBSC_EBIKE,3m 36s,216221
132825585,8/1/2023 3:53,2587,"Wormwood Street, Liverpool Street",8/1/2023 4:03,1208,"Dickens Square, Borough",50452,CLASSIC,10m 7s,607982
132825586,8/1/2023 3:53,1190,"Kennington Lane Rail Bridge, Vauxhall",8/1/2023 3:59,200207,"Hartington Road, Stockwell",59221,CLASSIC,5m 48s,348706
132825587,8/1/2023 3:54,22174,"Granby Street, Shoreditch",8/1/2023 4:00,1092,"Moorfields, Moorgate",54832,CLASSIC,6m 9s,369203
132825588,8/1/2023 3:56,200183,"Battersea Park Road, Nine Elms",8/1/2023 4:20,300052,"Parsons Green Station, Parsons Green",52255,CLASSIC,24m 26s,1466746
132825589,8/1/2023 3:58,1112,"Nutford Place, Marylebone",8/1/2023 4:11,2665,"Lord's, St. John's Wood",58407,CLASSIC,13m 12s,792370
132825590,8/1/2023 3:58,1028,"William IV Street, Strand",8/1/2023 4:09,1082,"Borough Road, Elephant & Castle",55287,CLASSIC,10m 35s,635227
132825591,8/1/2023 3:58,1153,"Pall Mall East, West End",8/1/2023 4:20,300231,"Lambeth Palace Road, Waterloo",23763,CLASSIC,21m 43s,1303128
132825592,8/1/2023 3:58,1153,"Pall Mall East, West End",8/1/2023 4:22,300025,"Archbishop's Park, Waterloo",50357,CLASSIC,23m 57s,1437557
132825593,8/1/2023 3:59,200068,"Somerset House, Strand",8/1/2023 4:06,3429,"Abbey Orchard Street, Westminster",56638,CLASSIC,7m 10s,430559
132825594,8/1/2023 3:59,2680,"Harrowby Street, Marylebone",8/1/2023 4:08,976,"Longford Street, The Regent's Park",21128,CLASSIC,8m 49s,529766
132825595,8/1/2023 4:05,200086,"Ilchester Gardens, Bayswater",8/1/2023 4:16,200052,"Exhibition Road Museums 2, South Kensington",60566,PBSC_EBIKE,10m 24s,624048
132825596,8/1/2023 4:12,200159,"Goldsmith's Row, Haggerston",8/1/2023 4:20,300041,"Finnis Street, Bethnal Green",60103,PBSC_EBIKE,7m 58s,478371
132825597,8/1/2023 4:13,300204,"Victoria Rise, Clapham Common",8/1/2023 4:23,300209,"Albert Square, Stockwell",60132,PBSC_EBIKE,9m 41s,581264
132825598,8/1/2023 4:13,200027,"Ford Road, Old Ford",8/1/2023 4:33,1080,"Great Tower Street, Monument",17698,CLASSIC,19m 32s,1172545
132825600,8/1/2023 4:16,200066,"Import Dock, Canary Wharf",8/1/2023 4:43,300226,"Copper Box Arena, Queen Elizabeth Olympic Park",52414,CLASSIC,27m 9s,1629488
132825601,8/1/2023 4:16,200025,"London Fields, Hackney Central",8/1/2023 4:28,200072,"Houndsditch, Aldgate",60495,PBSC_EBIKE,12m 2s,722160
132825599,8/1/2023 4:16,200134,"Albany Street, The Regent's Park",8/1/2023 4:19,1090,"Warren Street Station, Euston",59753,CLASSIC,3m 43s,223382
132825603,8/1/2023 4:17,200207,"Hartington Road, Stockwell",8/1/2023 4:24,1190,"Kennington Lane Rail Bridge, Vauxhall",59221,CLASSIC,6m 30s,390651
132825602,8/1/2023 4:17,3479,"Old Brompton Road, South Kensington",8/1/2023 4:25,3441,"Vicarage Gate, Kensington",59436,CLASSIC,8m 30s,510366
132825604,8/1/2023 4:18,1096,"Bayswater Road, Hyde Park",8/1/2023 5:07,200209,"Shepherd's Bush Road North, Shepherd's Bush",40936,CLASSIC,48m 54s,2934132
132825605,8/1/2023 4:18,3448,"Webber Street , Southwark",8/1/2023 4:30,300015,"Binfield Road, Stockwell",41713,CLASSIC,12m 8s,728226
132825606,8/1/2023 4:19,200151,"Hoxton Station, Hoxton",8/1/2023 4:24,22174,"Granby Street, Shoreditch",53007,CLASSIC,5m 34s,334656
132825607,8/1/2023 4:19,1096,"Bayswater Road, Hyde Park",8/1/2023 4:40,300236,"Bevington Road West, North Kensington",52819,CLASSIC,21m 31s,1291190
132825608,8/1/2023 4:21,300083,"Duke Street Hill, London Bridge",8/1/2023 4:28,200212,"Blackfriars Station, St. Paul's",57740,CLASSIC,7m 30s,450964
132825609,8/1/2023 4:21,300230,"Wynne Road, Stockwell",8/1/2023 4:29,200084,"Doddington Grove, Kennington",53575,CLASSIC,7m 48s,468162
132825610,8/1/2023 4:25,300038,"Star Road, West Kensington",8/1/2023 4:39,200061,"Westfield Southern Terrace ,Shepherd's Bush",52749,CLASSIC,14m 31s,871592
132825611,8/1/2023 4:27,200137,"Caldwell Street, Stockwell",8/1/2023 4:47,1201,"Bank of England Museum, Bank",56348,CLASSIC,20m 0s,1200285
132825612,8/1/2023 4:28,1089,"Queen's Gate (Central), South Kensington",8/1/2023 4:56,1025,"Bolsover Street, Fitzrovia",40268,CLASSIC,28m 24s,1704436
132825613,8/1/2023 4:28,1090,"Warren Street Station, Euston",8/1/2023 4:32,200134,"Albany Street, The Regent's Park",59753,CLASSIC,4m 16s,256542
132825614,8/1/2023 4:29,200194,"Clarence Walk, Stockwell",8/1/2023 4:39,200231,"Abingdon Green, Westminster",60119,PBSC_EBIKE,10m 11s,611915
132825616,8/1/2023 4:30,200002,"Jubilee Street, Stepney",8/6/2023 1:37,1054,"East Road, Hoxton",50119,CLASSIC,4d 21h 6m 19s,421579842
132825618,8/1/2023 4:31,989,"Murray Grove , Hoxton",8/1/2023 4:41,3425,"Northington Street , Holborn",40893,CLASSIC,10m 8s,608044
132825619,8/1/2023 4:31,200089,"Chrisp Street Market, Poplar",8/1/2023 5:02,1067,"St. James's Square, St. James's",35752,CLASSIC,30m 35s,1835198
132825617,8/1/2023 4:31,300249,"Westminster Pier, Westminster",8/1/2023 4:42,200133,"South Lambeth Road, Vauxhall",58634,CLASSIC,11m 20s,680887
132825620,8/1/2023 4:32,200030,"Driffield Road, Old Ford",8/1/2023 4:49,200212,"Blackfriars Station, St. Paul's",55286,CLASSIC,17m 21s,1041230
132825622,8/1/2023 4:35,3435,"Gloucester Road (Central), South Kensington",8/1/2023 4:43,1183,"Bramham Gardens, Earl's Court",50847,CLASSIC,7m 26s,446912
132825621,8/1/2023 4:35,1137,"Harper Road, The Borough",8/1/2023 4:49,1138,"Elizabeth Bridge, Victoria",59483,CLASSIC,14m 9s,849070
132825623,8/1/2023 4:36,300083,"Duke Street Hill, London Bridge",8/1/2023 4:59,300031,"Islington Green, Angel",58849,CLASSIC,22m 44s,1364552
132825624,8/1/2023 4:38,200014,"Gunmakers Lane, Old Ford",8/1/2023 4:47,200042,"York Hall, Bethnal Green",58701,CLASSIC,9m 6s,546151
132825625,8/1/2023 4:39,300043,"St. Peter's Terrace, Fulham",8/1/2023 4:47,3492,"Putney Pier, Wandsworth",55936,CLASSIC,7m 37s,457258
132825626,8/1/2023 4:39,300043,"St. Peter's Terrace, Fulham",8/1/2023 4:47,3492,"Putney Pier, Wandsworth",56202,CLASSIC,7m 21s,441833
132825627,8/1/2023 4:40,300011,"Victoria Park Road, Hackney Central",8/1/2023 4:57,22180,"Cheapside, Bank",22489,CLASSIC,16m 48s,1008230
132825628,8/1/2023 4:42,200011,"Furze Green, Bow",8/1/2023 4:54,22165,"Fisherman's Walk West, Canary Wharf",51538,CLASSIC,12m 30s,750132
132825629,8/1/2023 4:42,300096,"Tallis Street, Temple",8/1/2023 4:58,1135,"Claverton Street, Pimlico",57349,CLASSIC,16m 43s,1003028
132825630,8/1/2023 4:44,200121,"Shoreditch Court, Haggerston",8/1/2023 5:04,972,"Hampstead Road, Euston",59647,CLASSIC,20m 41s,1241809
132825633,8/1/2023 4:46,200042,"York Hall, Bethnal Green",8/1/2023 5:14,1013,"St. Chad's Street, King's Cross",53932,CLASSIC,28m 3s,1683082
132825631,8/1/2023 4:46,1188,"London Zoo Car Park, The Regent's Park",8/1/2023 5:15,2699,"Snow Hill, Farringdon",18294,CLASSIC,29m 28s,1768846
132825632,8/1/2023 4:46,200199,"Stanley Grove, Battersea",8/1/2023 4:53,200183,"Battersea Park Road, Nine Elms",15083,CLASSIC,7m 6s,426481
132825635,8/1/2023 4:49,200154,"Hansard Mews, Holland Park",8/1/2023 4:59,1108,"North Wharf Road, Paddington",60511,PBSC_EBIKE,10m 14s,614768
132825634,8/1/2023 4:49,1017,"Great Dover Street, The Borough",8/1/2023 5:01,1161,"Brushfield Street, Liverpool Street",23110,CLASSIC,12m 22s,742271
132825636,8/1/2023 4:51,200030,"Driffield Road, Old Ford",8/1/2023 5:06,200165,"Wellington Row, Bethnal Green",20497,CLASSIC,14m 26s,866250
132825637,8/1/2023 4:51,1154,"Kennington Road  , Vauxhall",8/1/2023 5:04,1138,"Elizabeth Bridge, Victoria",51892,CLASSIC,13m 16s,796430
132825638,8/1/2023 4:52,3454,"Denyer Street, Knightsbridge",8/1/2023 5:14,200217,"Disraeli Road, Putney",57078,CLASSIC,21m 25s,1285346
132825639,8/1/2023 4:52,1073,"Kennington Road Post Office, Oval",8/1/2023 5:12,200185,"St. John's Road, Clapham Junction",52015,CLASSIC,19m 59s,1199441
132825640,8/1/2023 4:53,1005,"Eversholt Street , Camden Town",8/1/2023 5:09,300242,"Allington Street, Victoria",50317,CLASSIC,16m 27s,987797
132825641,8/1/2023 4:55,200240,"Ferndale Road, Brixton",8/1/2023 5:20,1160,"Craven Street, Strand",52533,CLASSIC,24m 22s,1462510
132825642,8/1/2023 4:58,1165,"Riverlight North, Nine Elms",8/1/2023 5:09,300005,"Ethelburga Estate, Battersea Park",16616,CLASSIC,11m 6s,666025
132825643,8/1/2023 5:00,10629,"Rotherhithe Roundabout, Rotherhithe",8/1/2023 5:17,959,"Milroy Walk, South Bank",53990,CLASSIC,17m 23s,1043157
132825644,8/1/2023 5:01,200013,"Aston Street, Stepney",8/1/2023 5:50,200013,"Aston Street, Stepney",35054,CLASSIC,49m 30s,2970735
132825645,8/1/2023 5:02,200161,"Clinton Road, Mile End",8/1/2023 6:27,1062,"Braham Street, Aldgate",59313,CLASSIC,1h 25m 22s,5122125
132825646,8/1/2023 5:02,200098,"Aintree Street, Fulham",8/1/2023 5:20,200120,"Grant Road East, Clapham Junction",58401,CLASSIC,18m 11s,1091182
132825648,8/1/2023 5:05,200161,"Clinton Road, Mile End",8/1/2023 6:27,1062,"Braham Street, Aldgate",23031,CLASSIC,1h 21m 53s,4913897
132825649,8/1/2023 5:05,200154,"Hansard Mews, Holland Park",8/1/2023 5:37,1004,"Doric Way , Somers Town",60232,PBSC_EBIKE,31m 26s,1886121
132825650,8/1/2023 5:06,300044,"Putney Bridge Road, East Putney",8/1/2023 5:37,1074,"Newgate Street , St. Paul's",61116,PBSC_EBIKE,30m 19s,1819572
132825651,8/1/2023 5:07,200214,"Woodstock Grove, Shepherd's Bush",8/1/2023 5:19,200081,"Coomer Place, West Kensington",58198,CLASSIC,11m 59s,719125
132825652,8/1/2023 5:07,200209,"Shepherd's Bush Road North, Shepherd's Bush",8/1/2023 5:37,1133,"Baylis Road, Waterloo",58213,CLASSIC,30m 9s,1809911
132825654,8/1/2023 5:07,1165,"Riverlight North, Nine Elms",8/1/2023 5:25,1092,"Moorfields, Moorgate",60341,PBSC_EBIKE,17m 11s,1031577
132825655,8/1/2023 5:08,200185,"St. John's Road, Clapham Junction",8/1/2023 5:28,1067,"St. James's Square, St. James's",60490,PBSC_EBIKE,20m 29s,1229579
132825656,8/1/2023 5:08,300050,"Walworth Square, Walworth",8/1/2023 5:18,2667,"Tower Wharf, Bermondsey",57352,CLASSIC,9m 43s,583611
132825657,8/1/2023 5:09,300053,"Stephendale Road, Sands End",8/1/2023 5:19,300014,"Falcon Road, Clapham Junction",35800,CLASSIC,9m 39s,579291
132825658,8/1/2023 5:10,1171,"New Road 1 , Whitechapel",8/1/2023 5:36,300212,"Birkenhead Street, King's Cross",41559,CLASSIC,26m 5s,1565593
132825659,8/1/2023 5:11,300033,"Putney Rail Station, Putney",8/1/2023 5:24,200197,"Barons Court Station, West Kensington",54411,CLASSIC,12m 44s,764835
132825660,8/1/2023 5:11,200248,"Pitfield Street Central, Hoxton",8/1/2023 5:14,200151,"Hoxton Station, Hoxton",30960,CLASSIC,3m 14s,194674
132825661,8/1/2023 5:11,200051,"Percival Street, Finsbury",8/1/2023 5:16,200044,"New Fetter Lane, Holborn",52998,CLASSIC,5m 24s,324130
132825663,8/1/2023 5:12,300031,"Islington Green, Angel",8/1/2023 6:38,1051,"Shoreditch Park, Hoxton",51923,CLASSIC,1h 25m 58s,5158421
132825662,8/1/2023 5:12,200121,"Shoreditch Court, Haggerston",8/1/2023 5:17,200151,"Hoxton Station, Hoxton",54083,CLASSIC,4m 58s,298807
132825664,8/1/2023 5:15,3468,"Margery Street, Clerkenwell",8/1/2023 5:27,3452,"Panton Street, West End",52616,CLASSIC,12m 2s,722944
132825665,8/1/2023 5:15,22160,"Chelsea Bridge, Pimlico",8/1/2023 5:33,1048,"Queen Victoria Street, St. Paul's",50730,CLASSIC,17m 35s,1055807
132825666,8/1/2023 5:16,2641,"New North Road 2, Hoxton",8/1/2023 5:28,200149,"Watney Street, Shadwell",51191,CLASSIC,11m 56s,716864
132825667,8/1/2023 5:16,1070,"Bricklayers Arms, Borough",8/1/2023 5:31,22180,"Cheapside, Bank",50074,CLASSIC,14m 53s,893338
132825668,8/1/2023 5:16,300212,"Birkenhead Street, King's Cross",8/1/2023 5:23,1008,"Hatton Wall, Holborn",59496,CLASSIC,6m 39s,399231
132825669,8/1/2023 5:17,300091,"Hortensia Road, West Brompton",8/1/2023 5:32,200141,"Westfield Ariel Way, White City",58008,CLASSIC,15m 10s,910996
132825670,8/1/2023 5:17,200054,"Jubilee Crescent, Cubitt Town",8/1/2023 5:25,200099,"Upper Bank Street, Canary Wharf",58395,CLASSIC,7m 37s,457927
132825671,8/1/2023 5:17,1157,"Black Lion Gate, Kensington Gardens",8/1/2023 6:17,1157,"Black Lion Gate, Kensington Gardens",50718,CLASSIC,59m 13s,3553638
132825672,8/1/2023 5:18,1157,"Black Lion Gate, Kensington Gardens",8/1/2023 6:17,1157,"Black Lion Gate, Kensington Gardens",53058,CLASSIC,58m 59s,3539437
132825674,8/1/2023 5:19,200114,"Orbel Street, Battersea",8/1/2023 5:24,200190,"Queen's Circus, Battersea Park",59809,CLASSIC,5m 43s,343226
132825675,8/1/2023 5:19,1087,"Belgrave Road, Victoria",8/1/2023 5:32,1086,"Baker Street, Marylebone",59788,CLASSIC,12m 5s,725580
132825673,8/1/2023 5:19,200114,"Orbel Street, Battersea",8/1/2023 5:24,200190,"Queen's Circus, Battersea Park",52010,CLASSIC,5m 41s,341064
132825676,8/1/2023 5:20,2667,"Tower Wharf, Bermondsey",8/1/2023 5:22,300253,"Bermondsey Station, Bermondsey",54815,CLASSIC,2m 42s,162153
132825678,8/1/2023 5:21,200021,"Hermitage Court, Wapping",8/1/2023 5:34,200163,"Jubilee Plaza, Canary Wharf",50020,CLASSIC,13m 36s,816360
132825679,8/1/2023 5:21,300022,"Evesham Street, Avondale",8/1/2023 5:28,200220,"Blythe Road West, Shepherd's Bush",59157,CLASSIC,6m 20s,380916
132825677,8/1/2023 5:21,200114,"Orbel Street, Battersea",8/1/2023 5:51,1142,"Tooley Street, Bermondsey",56639,CLASSIC,30m 42s,1842229
132825680,8/1/2023 5:22,200029,"Finlay Street, Fulham",8/1/2023 5:41,300221,"Battersea Power Station, Battersea Park",54576,CLASSIC,19m 32s,1172421
132825681,8/1/2023 5:22,991,"Crosswall, Tower",8/1/2023 5:34,1060,"Torrens Street, Angel",57354,CLASSIC,12m 14s,734659
132825682,8/1/2023 5:22,200211,"Union Grove, Wandsworth Road",8/1/2023 5:25,200183,"Battersea Park Road, Nine Elms",52528,CLASSIC,3m 22s,202646
132825683,8/1/2023 5:22,200142,"Hammersmith Road, Hammersmith",8/1/2023 5:30,3444,"Penywern Road, Earl's Court",58005,CLASSIC,8m 33s,513569
132825684,8/1/2023 5:22,1103,"Gloucester Street, Pimlico",8/1/2023 5:39,300087,"Imperial Road, Sands End",58731,CLASSIC,16m 41s,1001356
132825685,8/1/2023 5:23,2587,"Wormwood Street, Liverpool Street",8/1/2023 5:35,1028,"William IV Street, Strand",35546,CLASSIC,11m 46s,706467
132825686,8/1/2023 5:25,2589,"Pembridge Villas, Notting Hill",8/1/2023 5:32,1116,"Emperor's Gate, South Kensington",59532,CLASSIC,7m 2s,422294
132825687,8/1/2023 5:25,300046,"Alma Road, Wandsworth",8/1/2023 5:53,1163,"Wardour Street, Soho",53512,CLASSIC,27m 55s,1675839
132825688,8/1/2023 5:27,200004,"Lightermans Road, Millwall",8/1/2023 5:52,1201,"Bank of England Museum, Bank",58107,CLASSIC,24m 53s,1493598
132825689,8/1/2023 5:28,3454,"Denyer Street, Knightsbridge",8/1/2023 5:34,3465,"Eccleston Place, Victoria",54314,CLASSIC,5m 43s,343266
